name,discipline,games
Taekwondo at the 2012 Summer Olympics – Women's +67 kg,Women's Taekwondo; Heavyweight + 67 kg,2012 Summer Olympics
Athletics at the 1964 Summer Olympics - Men's decathlon,Men's Decathlon,1964 Summer Olympics
Swimming at the 1968 Summer Olympics – Men's 200 metre freestyle,Men's 200m Freestyle,1968 Summer Olympics
Swimming at the 1964 Summer Olympics – Men's 1500 metre freestyle,Men's 1500m freestyle,1964 Summer Olympics
Modern pentathlon at the 1992 Summer Olympics,,
Speed Skating at the 1988 Winter Olympics - Women's 5000m,Women's 5000 m,1988 Winter Olympics
Modern Pentathlon at the 1976 Summer Olympics - Men's Individual,Men's Modern pentathlon,1976 Summer Olympics
Shooting at the 1976 Summer Olympics - 50m Rifle Three Positions,Olympic 50m rifle; 3 positions,1976 Summer Olympics
Weightlifting at the 1968 Summer Olympics - Men's Middle Heavyweight  82.5-90 kg,Men's Weightlifting; Middle Heavyweight 82.5-90 kg,1968 Summer Olympics
Wrestling at the 1956 Summer Olympics - Men's Freestyle Light Heavyweight,Men's Freestyle Wrestling; Light Heavyweight 79-87kg,1956 Summer Olympics
Speed Skating at the 1984 Winter Olympics - Men's 1000m,Men's 1000m,1984 Winter Olympics
Boxing at the 1992 Summer Olympics - Bantamweight,Men's Boxing; Bantamweight 51 - 54kg,1992 Summer Olympics
Gymnastics at the 1992 Summer Olympics – Men's artistic individual all-around,Men's Gymnastics; individual all-round,1992 Summer Olympics
Wrestling at the 1924 Summer Olympics - Men's Greco-Roman Bantamweight,Men's Greco-Roman Wrestling; Bantamweight -58kg,1924 Summer Olympics
Biathlon at the 2006 Winter Olympics – Men's pursuit,Men's 12.5 km Pursuit,2006 Winter Olympics
Cross-Country Skiing at the 1976 Winter Olympics - Men's 15km,Men's Cross-Country; 15 km,1976 Winter Olympics
Cross Country Skiing at the 1984 Winter Olympics - Men's 30km,Men's Cross-country; 30km,1984 Winter Olympics
Alpine skiing at the 2010 Winter Olympics – Men's Super Combined,Men's Super Combined,2010 Winter Olympics
Alpine Skiing at the 1998 Winter Olympics -Women's Slalom,Women's Slalom,1998 Winter Olympics
Short Track Speed Skating at the 1992 Winter Olympics - Women's 3000 m relay,,
Boxing at the 2000 Summer Olympics - Heavyweight,Men's Boxing; Heavyweight 81 - 91kg,2000 Summer Olympics
Short Track Speed Skating at the 1992 Winter Olympics - Women's 500m,Women's 500m,1992 Winter Olympics
Cycling at the 1948 Summer Olympics - Women's individual road race,,
Canoeing at the 1948 Summer Olympics - Men's C-2 10000 metres,,
Diving at the 2008 Summer Olympics – Women's synchronized 10 metre platform,,
Alpine skiing at the 1936 Winter Olympics - Men's combined,Men's Combined,1936 Winter Olympics
Gymnastics at the 1924 Summer Olympics - Men's Horizontal Bar,Men's Horizontal bar,1924 Summer Olympics
Football at the 2008 Summer Olympics - Women's tournament,Women's football,2008 Summer Olympics
Gymnastics at the 2008 Summer Olympics - Women's Vault,Women's Vault,2008 Summer Olympics
Swimming at the 2004 Summer Olympics - Men's 100 metre freestyle,Men's 100m freestyle,2004 Summer Olympics
Water polo at the 2004 Summer Olympics - Women's tournament,,2004 Summer Olympics
Wrestling at the 2004 Summer Olympics - Men's Greco-Roman Welterweight,Men's Greco-Roman Wrestling; Welterweight 66 - 74kg,2004 Summer Olympics
Shooting at the 1908 Summer Olympics - Men's team pistol,,1908 Summer Olympics
Fencing at the 1956 Summer Olympics – Men's épée,,
Athletics at the 1960 Summer Olympics - Women's high jump,Women's High jump,1960 Summer Olympics
Fencing at the 1960 Summer Olympics – Women's foil,,
Tennis at the 1908 Summer Olympics - Women's Indoor Singles,Women's Tennis; Indoor Singles,1908 Summer Olympics
Table Tennis at the 2008 Summer Olympics - Women's Singles,Women's TableTennis; Singles,2008 Summer Olympics
Athletics at the 1988 Summer Olympics - Men's Decathlon,Men's Decathlon,1988 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's Greco-Roman Light Heavyweight,Men's Greco-Roman Wrestling; Light Heavyweight  82-90 kg,1988 Summer Olympics
Swimming at the 2004 Summer Olympics - Women's 4 x 100 metre medley relay,,2004 Summer Olympics
Gymnastics at the 1924 Summer Olympics – Men's rings,Men's Rings,1924 Summer Olympics
Tennis at the 2008 Summer Olympics - Women's Singles,Women's Tennis; singles,2008 Summer Olympics
Athletics at the 2004 Summer Olympics - Men's 400 metres,Men's Athletics; 400m,2004 Summer Olympics
Wrestling at the 1988 Summer Olympics - Men's freestyle Light Heavyweight,Men's freestyle wrestling; light heavyweight 90kg,1988 Summer Olympics
Wrestling at the 1992 Summer Olympics - Men's Freestyle Lightweight,Men's Freestyle; Lightweight 62-68kg,1992 Summer Olympics
Swimming at the 1920 Summer Olympics - Men's 400 metre freestyle,Men's 400m freestyle,1920 Summer Olympics
Athletics at the 1992 Summer Olympics - Women's heptathlon,Women's Heptathlon,1992 Summer Olympics
Speed skating at the 1948 Winter Olympics - Men's 500m,Men's 500m,1948 Winter Olympics
Badminton at the 2008 Summer Olympics - Men's doubles,Badminton - Men's doubles,2008 Summer Olympics
Swimming at the 2008 Summer Olympics - Men's 200 metre breaststroke,Men's 200m breaststroke,2008 Summer Olympics
Wrestling at the 1992 Summer Olympics - Men's freestyle Flyweight,Men's Freestyle Wrestling; flyweight 48-52 kg,1992 Summer Olympics
Judo at the 2008 Summer Olympics – Women's 78 kg,Women's Judo; 70 - 78kg (half-heavyweight),2008 Summer Olympics
Triathlon at the 2000 Summer Olympics - Men's Triathlon,Men's Triathlon,2000 Summer Olympics
Canoeing at the 1984 Summer Olympics - Women's K-4 500 metres,,
Figure skating at the 1920 Summer Olympics - Pairs,,1920 Summer Olympics
Canoeing at the 1960 Summer Olympics - Men's K-1 1000 metres,Men's K-1 1000m (kayak single),1960 Summer Olympics
Boxing at the 1924 Summer Olympics - Men's featherweight,Men's Boxing; Featherweight 53.5-57.2kg,1924 Summer Olympics
Swimming at the 2004 Summer Olympics - Women's 200 metre backstroke,Women's 200m backstroke,2004 Summer Olympics
Shooting at the 1924 Summer Olympics - Trap,Olympic trap,1924 Summer Olympics
Canoeing at the 1936 Summer Olympics - Men's K-1 10000 metres,Men's K1 10;000m Kayak Singles,1936 Summer Olympics
Alpine skiing at the 1948 Winter Olympics - Men's combined,Men's Combined,1948 Winter Olympics
Speed Skating at the 1956 Winter Olympics - Men's 5000m,Speed skating - Men's 5000m,1956 Winter Olympics
Athletics at the 1976 Summer Olympics - Women's shot put,Women's Shot put,1976 Summer Olympics
Freestyle Skiing at the 2006 Winter Olympics – Men's Aerials,Men's Aerials,2006 Winter Olympics
Speed Skating at the 1960 Winter Olympics - Women's 1500m,Women's 1500m,1960 Winter Olympics
Sailing at the 1988 Summer Olympics,,
Gymnastics at the 1904 Summer Olympics - Men's team,,1904 Summer Olympics
Gymnastics at the 1964 Summer Olympics - Men's pommel horse,Men's Pommel horse,1964 Summer Olympics
Diving at the 1912 Summer Olympics - Men's plain high diving,Men's plain high diving,1912 Summer Olympics
Swimming at the 2000 Summer Olympics - Men's 4x200 metre freestyle relay,Men's 4x200m freestyle relay,2000 Summer Olympics
Athletics at the 1912 Summer Olympics - Men's 110 metre hurdles,Men's Athletics; 110m hurdles,1912 Summer Olympics
Cycling at the 2000 Summer Olympics - Men's individual road race,Men's Road cycling; individual road race,2000 Summer Olympics
Wrestling  at the 1936 Summer Olympics - Men's Freestyle Lightweight,Men's Freestyle Wrestling; Lightweight 61-66kg,1936 Summer Olympics
Cycling at the 1968 Summer Olympics - Men's Sprint,Men's Track cycling; Sprint individual,1968 Summer Olympics
Gymnastics at the 1972 Summer Olympics – Women's uneven bars,Women's Uneven bars,1972 Summer Olympics
