athlete,country,olympics,sport
Ville Peltonen,Finland,1994 Winter Olympics,Ice Hockey
Li Hongli,China,2008 Summer Olympics,Weightlifting
Guillaume Gille,France,2008 Summer Olympics,Team handball
Zdravko Miljak,Yugoslavia,1972 Summer Olympics,Team handball
Bob Ctvrtlik,United States of America,1996 Summer Olympics,Volleyball
Eric Sato,United States of America,1988 Summer Olympics,Volleyball
Chen Wei Ling,Taiwan,2008 Summer Olympics,Weightlifting
Giovanna Trillini,Italy,2008 Summer Olympics,Fencing
Ryoko Tani,Japan,1992 Summer Olympics,Judo
Sven Kramer,Netherlands,2010 Winter Olympics,Speed skating
Bridgette Gordon,United States of America,1988 Summer Olympics,Basketball
Alain Bernard,France,2008 Summer Olympics,Swimming
Henrik Sedin,Sweden,2006 Winter Olympics,Ice Hockey
Meaghan Mikkelson,Canada,2010 Winter Olympics,Ice Hockey
Ranomi Kromowidjojo,Netherlands,2008 Summer Olympics,Swimming
Amanda Clark,United States of America,2008 Summer Olympics,Sailing
Joaquin Capilla,Mexico,1948 Summer Olympics,Diving
Gintaras Einikis,Lithuania,2000 Summer Olympics,Basketball
Edgar H. Adams,United States of America,1904 Summer Olympics,
Angela Whyte,Canada,2008 Summer Olympics,Track and field athletics
Tim Hutten,United States of America,2008 Summer Olympics,Water polo
Michele Granger,United States of America,1996 Summer Olympics,Softball
Edwin Frank Young,United States of America,1968 Summer Olympics,
James Stewart,Australia,,
Phil Rogers,Australia,,
Jason Kidd,United States of America,2000 Summer Olympics,Basketball
Dale Begg-Smith,Australia,2006 Winter Olympics,Freestyle skiing
Brenda Jones,Australia,,
Lindsay Seemann,Canada,2008 Summer Olympics,Swimming
Seamus McGrath,Canada,2008 Summer Olympics,Mountain biking
Larsen Jensen,United States of America,2008 Summer Olympics,Swimming
Yael Arad,Israel,1992 Summer Olympics,Judo
Brenton Rickard,Australia,2008 Summer Olympics,Swimming
Ivett Gonda,Canada,2008 Summer Olympics,Taekwondo
Tim Wieskötter,Germany,2008 Summer Olympics,Canoe Sprint
Anke Landman,Netherlands,1998 Winter Olympics,Short track speed skating
Satoru Terao,Japan,2002 Winter Olympics,Short track speed skating
Deidra Dionne,Canada,2010 Winter Olympics,Freestyle skiing
Kati Kovalainen,Finland,2006 Winter Olympics,Ice Hockey
Todd Lodwick,United States of America,1994 Winter Olympics,Nordic combined
Nathalie Desmares,France,1998 Winter Olympics,Snowboarding
Sonja Henie,Norway,1928 Winter Olympics,Figure skating
Manuela  Mueller,Switzerland,2002 Winter Olympics,Freestyle skiing
Patrick Hausding,Germany,2008 Summer Olympics,Diving
Zdravko Miljak,Yugoslavia,1976 Summer Olympics,Team handball
Roberto Cammarelle,Italy,2004 Summer Olympics,Boxing
Joseph Werbrouck,Belgium,1908 Summer Olympics,Cycling
Nikola Grbi?,Serbia,2008 Summer Olympics,Volleyball
Manuel Jorge Domínguez,,1984 Summer Olympics,Cycling
Monika Gyorgy,Romania,2006 Winter Olympics,Cross-country skiing
Daniel Morelon,,1972 Summer Olympics,Cycling
Giorgio Ursi,,1964 Summer Olympics,Cycling
Sante Gaiardoni,,1960 Summer Olympics,Cycling
Masaru Inada,Japan,2006 Winter Olympics,Skeleton
Antonio Maspes,,1952 Summer Olympics,Cycling
Jacqui Cooper,Australia,2002 Winter Olympics,Freestyle skiing
Daniela Anschütz-Thoms,Germany,2006 Winter Olympics,Speed skating
Rasa Polikevi?i?t?,,2004 Summer Olympics,Cycling
Wolfgang Stampfer,Austria,2002 Winter Olympics,Bobsleigh
Paul Kimmage,,1984 Summer Olympics,Cycling
Inga Thompson,,1984 Summer Olympics,Cycling
Sylvie Becaert,France,2006 Winter Olympics,Biathlon
Amelie Kober,Germany,2006 Winter Olympics,Snowboarding
Erik Dekker,Netherlands,1992 Summer Olympics,Cycling
Martina Halinárová,Slovakia,2002 Winter Olympics,Biathlon
Mihail Kuzmitch,Russia,2006 Winter Olympics,Luge
Diana Žili?t?,,2000 Summer Olympics,Cycling
Yannick Bertrand,France,2006 Winter Olympics,Alpine skiing
Servais Knaven,Netherlands,2004 Summer Olympics,Cycling
Tsvetanka Khristova,Bulgaria,1992 Summer Olympics,
Emmanuel Jonnier,France,2006 Winter Olympics,Cross-country skiing
Steven Holcomb,United States of America,1998 Winter Olympics,Alpine skiing
Serguei Yakovlev,,2004 Summer Olympics,Cycling
Ivo Danilevi?,Czech Republic,2006 Winter Olympics,Bobsleigh
Jennie Finch,United States of America,2008 Summer Olympics,Softball
Jens Fiedler,Germany,2004 Summer Olympics,Cycling
Paul Ingle,United Kingdom,1992 Summer Olympics,Boxing
Jouni Kortelainen,Finland,1980 Summer Olympics,Track and field athletics
Chris Carmichael,,1984 Summer Olympics,Cycling
Gene Samuel,,1984 Summer Olympics,Cycling
Olga Savialova,Russia,2006 Winter Olympics,Cross-country skiing
Art Longsjo,,1956 Summer Olympics,Cycling
Eriko Ishino,Japan,2006 Winter Olympics,Speed skating
Márcio May,,1992 Summer Olympics,Cycling
Iryna Yanovych,,2000 Summer Olympics,Cycling
Alan Henderson,New Zealand,2006 Winter Olympics,Bobsleigh
Didier Cuche,Switzerland,2002 Winter Olympics,Alpine skiing
Alexander Vinokourov,Kazakhstan,2004 Summer Olympics,Cycling
Alexandra Jekova,Bulgaria,2006 Winter Olympics,Snowboarding
Tim Carswell,,2000 Summer Olympics,Cycling
Niels Fredborg,,1972 Summer Olympics,Cycling
Gunilla Andersson,Sweden,1998 Winter Olympics,Ice Hockey
Marc Sergeant,,1980 Summer Olympics,Cycling
Kenny Jönsson,Sweden,2006 Winter Olympics,Ice Hockey
Johnny Weir,United States of America,2006 Winter Olympics,Figure skating
Thobias Fredriksson,Sweden,2002 Winter Olympics,Cross-country skiing
Juan José Moral,,1976 Summer Olympics,Cycling
Gary Neiwand,,1988 Summer Olympics,Cycling
Fabrizio Tosini,Italy,1998 Winter Olympics,Bobsleigh
Bart Brentjens,Netherlands,1996 Summer Olympics,Mountain biking
Cathy Turner,United States of America,1998 Winter Olympics,Short track speed skating
Thomas Dufour,France,2002 Winter Olympics,Curling
Werner Otto,,1972 Summer Olympics,Cycling
Tami Kiuru,Finland,2006 Winter Olympics,Ski jumping
Art?ras Kasputis,,1988 Summer Olympics,Cycling
Ole Einar Bjørndalen,Norway,1994 Winter Olympics,Biathlon
Ryan St. Onge,United States of America,2006 Winter Olympics,Freestyle skiing
Chikage Tanaka,Japan,2006 Winter Olympics,Short track speed skating
Johannes Maas,,1928 Summer Olympics,Cycling
Maurice Peeters,,1924 Summer Olympics,Cycling
Edita Pu?inskait?,,2004 Summer Olympics,Cycling
Ekaterina Smolina,Russia,2006 Winter Olympics,Ice Hockey
Tobias Schneider,Germany,2006 Winter Olympics,Speed skating
Dara Torres,United States of America,1992 Summer Olympics,Swimming
Eli Bremer,United States of America,2008 Summer Olympics,Modern pentathlon
Louis Balbach,United States of America,1920 Summer Olympics,
Bridgette Gusterson,Australia,,
John Monckton,Australia,,
Gretchen Fraser,United States of America,1948 Winter Olympics,Alpine skiing
Victoria Svensson,Sweden,2008 Summer Olympics,Football
Linda Mackenzie,Australia,2008 Summer Olympics,Swimming
Damon Diletti,Australia,,
Phillip Dutton,Australia,1996 Summer Olympics,Eventing
Jacqueline Brooks,Canada,2008 Summer Olympics,Dressage
Brenda Villa,United States of America,2008 Summer Olympics,Water polo
Jessica Enström,Sweden,2008 Summer Olympics,Team handball
Alfred Neuland,Estonia,1920 Summer Olympics,Weightlifting
Mubarak Kivumbi,Uganda,2008 Summer Olympics,Weightlifting
Taraje Williams-Murray,United States of America,2008 Summer Olympics,Judo
Max Ippen,,1948 Winter Olympics,
Janine Hanson,Canada,2008 Summer Olympics,Rowing
Christophe Perrillat,France,2002 Winter Olympics,Cross-country skiing
Roman Handschin,Switzerland,2006 Winter Olympics,Bobsleigh
Lars Flora,United States of America,2006 Winter Olympics,Cross-country skiing
Nicole Branagh,United States of America,2004 Summer Olympics,Beach volleyball
Sven Höglund,,1932 Summer Olympics,Cycling
Marie Marchand-Arvier,France,2006 Winter Olympics,Alpine skiing
Alain Bondue,,1980 Summer Olympics,Cycling
Marco Pantani,Italy,2000 Summer Olympics,Road cycling
Erik Friborg,,1912 Summer Olympics,Cycling
Apolo Anton Ohno,United States of America,2002 Winter Olympics,Short track speed skating
Marco Büchel,Liechtenstein,2006 Winter Olympics,Alpine skiing
Matthew Stephens,,1992 Summer Olympics,Cycling
Olexander Bilanenko,Ukraine,2002 Winter Olympics,Biathlon
Olga Zaitseva,Russia,2002 Winter Olympics,Biathlon
Brian Joubert,France,2006 Winter Olympics,Figure skating
Francois Olivier Roberge,Canada,2006 Winter Olympics,Speed skating
Ernst Nievergelt,,1936 Summer Olympics,Cycling
Márcio May,,2004 Summer Olympics,Cycling
Peter van Petegem,Belgium,2000 Summer Olympics,Cycling
Ko Willems,,1924 Summer Olympics,Cycling
Ilm?rs Bricis,Latvia,1992 Winter Olympics,Biathlon
Lee Kyu-Hyuk,South Korea,2006 Winter Olympics,Speed skating
Teddy Billington,United States of America,1904 Summer Olympics,Cycling
Olaf Ludwig,Germany,1988 Summer Olympics,Cycling
Cath Swinnerton,,1984 Summer Olympics,Cycling
Sarah Ulmer,,2004 Summer Olympics,Cycling
Sergio Bianchetto,,1964 Summer Olympics,Cycling
Godtfred Olsen,,1912 Summer Olympics,Cycling
Christoph Sauser,,2004 Summer Olympics,Cycling
Alexei Markov,,2000 Summer Olympics,Track cycling
Dunc Gray,,1928 Summer Olympics,Cycling
Pierre Lueders,Canada,2002 Winter Olympics,Bobsleigh
Milan Jagnesak,Slovakia,2006 Winter Olympics,Bobsleigh
Pietro Piller Cottrer,Italy,2002 Winter Olympics,Cross-country skiing
Jennie Finch,United States of America,2004 Summer Olympics,Softball
Xaver Kurmann,,1968 Summer Olympics,Cycling
Martin Baj?i?ák,Slovakia,2006 Winter Olympics,Cross-country skiing
Mika Poutala,Finland,2006 Winter Olympics,Speed skating
Guido Fulst,Germany,2004 Summer Olympics,Cycling
Bill Schuffenhauer,United States of America,2006 Winter Olympics,Bobsleigh
Sebastian Sørensen,Denmark,2010 Winter Olympics,Cross-country skiing
Laurent Jalabert,France,2000 Summer Olympics,Cycling
Ján Svorada,,2000 Summer Olympics,Cycling
Alison Sydor,Canada,2004 Summer Olympics,Cycling
Anette Norberg,Sweden,2010 Winter Olympics,Curling
Clyde Sefton,,1972 Summer Olympics,Cycling
Anni Friesinger,Germany,2006 Winter Olympics,Speed skating
O?egs Ma?uhins,Latvia,1998 Winter Olympics,Biathlon
Max Götze,Germany,1908 Summer Olympics,Cycling
Hovhannes Sargsyan,Armenia,2006 Winter Olympics,Cross-country skiing
Tanja Poutiainen,Finland,2006 Winter Olympics,Alpine skiing
Erik Schlopy,United States of America,1994 Winter Olympics,Alpine skiing
Dave Saunders,United States of America,1988 Summer Olympics,Volleyball
Kate Markgraf,United States of America,2004 Summer Olympics,Football
Jeff Stork,United States of America,1988 Summer Olympics,Volleyball
Ron Delany,Ireland,1956 Summer Olympics,Track and field athletics
Jonny Moseley,United States of America,2002 Winter Olympics,Freestyle skiing
Lasse Moelgaard,Denmark,2010 Winter Olympics,Cross-country skiing
Ivan Stevic,,2004 Summer Olympics,Cycling
Elena Gorohova,Moldova,2002 Winter Olympics,Cross-country skiing
Patrick Staudacher,Italy,2002 Winter Olympics,Alpine skiing
Daniele Nardello,Italy,2004 Summer Olympics,Cycling
Susanna Pöykiö,Finland,2006 Winter Olympics,Figure skating
Elena Khrustaleva,Kazakhstan,2002 Winter Olympics,Biathlon
Markus Larsson,Sweden,2006 Winter Olympics,Alpine skiing
Ewelina Staszulonek,Poland,2006 Winter Olympics,Luge
Shiva Keshavan,India,2002 Winter Olympics,Luge
Marlon Perez Arango,,2004 Summer Olympics,Cycling
Walter Martin,United States of America,1912 Summer Olympics,Cycling
Andreja Mali,Slovenia,2002 Winter Olympics,Biathlon
Russell Mockridge,,1948 Summer Olympics,Cycling
Doris Günther,Austria,2006 Winter Olympics,Snowboarding
Frankie Andreu,,1996 Summer Olympics,Cycling
Gary Neiwand,,2000 Summer Olympics,Cycling
José Antonio Hermida,Spain,2000 Summer Olympics,Mountain biking
Vassili Rotchev,Russia,2006 Winter Olympics,Cross-country skiing
Thijs Al,Netherlands,2004 Summer Olympics,Cycling
Alessandro Pittin,Italy,2006 Winter Olympics,Nordic combined
Aleksey Morozov,Russia,1998 Winter Olympics,Ice Hockey
Armands B?rzi?š,Latvia,2006 Winter Olympics,Ice Hockey
Jakub Janda,Czech Republic,2006 Winter Olympics,Ski jumping
Bruno Loscos,France,1998 Winter Olympics,Short track speed skating
Daito Takahashi,Japan,2006 Winter Olympics,Nordic combined
Todd Lodwick,United States of America,1998 Winter Olympics,Nordic combined
Rastislav Pavlikovský,Slovakia,2002 Winter Olympics,Ice Hockey
Stian Eckhoff,Norway,2006 Winter Olympics,Biathlon
Ivo Danilevi?,Czech Republic,2002 Winter Olympics,Bobsleigh
Yonghua Jiang,,2004 Summer Olympics,Cycling
Jürgen Colombo,,1972 Summer Olympics,Cycling
Peter Luttenberger,Austria,1992 Summer Olympics,Cycling
Louise Corcoran,New Zealand,2006 Winter Olympics,Skeleton
Achille Souchard,,1920 Summer Olympics,Cycling
Peter Gröning,German Democratic Republic,1960 Summer Olympics,Cycling
Imre Tagscherer,Hungary,2002 Winter Olympics,Cross-country skiing
Marit Bjørgen,Norway,2006 Winter Olympics,Cross-country skiing
Hermann Martens,Germany,1908 Summer Olympics,Cycling
Giuseppe Olmo,,1932 Summer Olympics,Cycling
Lanny Barnes,United States of America,2006 Winter Olympics,Biathlon
Mannie Heymans,,2000 Summer Olympics,Cycling
Robert Slippens,Netherlands,2004 Summer Olympics,Cycling
Martins Dukurs,Latvia,2006 Winter Olympics,Skeleton
Sergiy Matveyev,,2000 Summer Olympics,Cycling
Martina Halinárová,Slovakia,1994 Winter Olympics,Biathlon
John Nicholson,,1972 Summer Olympics,Cycling
Markku Uusipaavalniemi,Finland,2006 Winter Olympics,Curling
Ciarán Power,,2004 Summer Olympics,Cycling
Francesco Casagrande,,1996 Summer Olympics,Cycling
María Luisa Calle,,2000 Summer Olympics,Track cycling
Ernest Johnson,England,1936 Summer Olympics,Cycling
Jessica Gillarduzzi,Italy,2006 Winter Olympics,Bobsleigh
Zhang Hao,China,2006 Winter Olympics,Figure skating
Zou Kai,China,2008 Summer Olympics,Artistic gymnastics
Kirsty Coventry,Zimbabwe,2008 Summer Olympics,Swimming
Jeannette Altwegg,United Kingdom,1948 Winter Olympics,Figure skating
Oli Rahman,Ghana,1992 Summer Olympics,Football
Mahmoud Guendouz,Algeria,1980 Summer Olympics,Football
Virginia Ruano Pascual,Spain,2004 Summer Olympics,Tennis
Tatyana Lebedeva,Russia,2000 Summer Olympics,Track and field athletics
Katharine Merry,United Kingdom,2000 Summer Olympics,Track and field athletics
Mia Hamm,United States of America,1996 Summer Olympics,Football
Sara Aerts,Belgium,2012 Summer Olympics,Track and field athletics
Tina Konyot,United States of America,2012 Summer Olympics,Equestrian vaulting
Sudket Prapakamol,Thailand,2012 Summer Olympics,Badminton
Crox Acuña,Venezuela,2012 Summer Olympics,Swimming
,Venezuela,2012 Summer Olympics,Volleyball
Paola Muñoz,Chile,2012 Summer Olympics,Road cycling
Ilia Shtokalov,Russia,2012 Summer Olympics,Canoe Sprint
Gunn-Rita Dahle Flesjå,Norway,2012 Summer Olympics,Mountain biking
Vladislava Ovcharenko,Tajikistan,2012 Summer Olympics,Track and field athletics
Artur Davtyan,Armenia,2012 Summer Olympics,Artistic gymnastics
Felismina Cavela,Angola,2012 Summer Olympics,Track and field athletics
Jenning Huizenga,Netherlands,2012 Summer Olympics,Track cycling
Casey Eichfeld,United States of America,2012 Summer Olympics,Canoe Slalom
Mariaesthela Vilera,Venezuela,2012 Summer Olympics,Track cycling
Stefany Hernandez,Venezuela,2012 Summer Olympics,BMX racing
Dzmitry Kaspiarovich,Belarus,2012 Summer Olympics,Artistic gymnastics
Nakyeong Han,South Korea,2012 Summer Olympics,Swimming
Kaori Icho,Japan,2012 Summer Olympics,Freestyle wrestling
Pedro Mora,Venezuela,2012 Summer Olympics,Road running
Marek Niit,Estonia,2012 Summer Olympics,Track and field athletics
Dorcus Inzikuru,Uganda,2012 Summer Olympics,Track and field athletics
Ronald Bennett,Honduras,2012 Summer Olympics,Track and field athletics
Benjamin Enzema,Equatorial Guinea,2012 Summer Olympics,Track and field athletics
Glenn O'Shea,Australia,2012 Summer Olympics,Track cycling
Vid Hidvegi,Hungary,2012 Summer Olympics,Artistic gymnastics
Zsofia Erdelyi,Hungary,2012 Summer Olympics,Road running
Günther Weidlinger,Austria,2012 Summer Olympics,Road running
Ruben Oscar Voisard Rezola,Argentina,2012 Summer Olympics,Canoe Sprint
Saad Baniyas,United Arab Emirates,2012 Summer Olympics,Football
Yargelis Savigne,Cuba,2012 Summer Olympics,Track and field athletics
Dawoud Sulaiman,United Arab Emirates,2012 Summer Olympics,Football
Eline Berings,Belgium,2012 Summer Olympics,Track and field athletics
Zhiben far field,Japan,2012 Summer Olympics,Judo
Jason Young,United States of America,2012 Summer Olympics,Track and field athletics
Arianna Errigo,Italy,2012 Summer Olympics,Fencing
Brendan Sexton,Australia,2012 Summer Olympics,Triathlon
Moon Younghui,South Korea,2012 Summer Olympics,Field hockey
Sebastiaan Verschuren,Netherlands,2012 Summer Olympics,Swimming
Daniela Piedade,Brazil,2012 Summer Olympics,Team handball
Enrique Collazo,Puerto Rico,2012 Summer Olympics,Boxing
Krisztina Tóth,Hungary,2008 Summer Olympics,Table tennis
Oscar Valdez,Mexico,2012 Summer Olympics,Boxing
Helle Frederiksen,Denmark,2012 Summer Olympics,Triathlon
Naomi Kawasumi,Japan,2012 Summer Olympics,Football
Guillaume Boivin,Canada,2012 Summer Olympics,
Zhu Qianwei,China,2012 Summer Olympics,Swimming
Francesco Dell'Uomo,Italy,2012 Summer Olympics,Diving
Tuvshinbayar Naidan,Mongolia,2012 Summer Olympics,Judo
Ryohei Kato,Japan,2012 Summer Olympics,Artistic gymnastics
Adam White,Australia,2012 Summer Olympics,Volleyball
Robert Archibald,United Kingdom,2012 Summer Olympics,Basketball
Tariku Bekele,Ethiopia,2012 Summer Olympics,Track and field athletics
David Alegre,Spain,2012 Summer Olympics,Field hockey
Katrin Wagner,Germany,2012 Summer Olympics,Canoe Sprint
Amer Hrustanovic,Austria,2012 Summer Olympics,Greco-Roman wrestling
Elise Rechichi,Australia,2012 Summer Olympics,Sailing
Oskar Deecke,Germany,2012 Summer Olympics,Field hockey
Fu Yuanhui,China,2012 Summer Olympics,Swimming
Pierpaolo Frattini,Italy,2012 Summer Olympics,Rowing
,Angola,2012 Summer Olympics,Beach volleyball
Christopher Wesley,Germany,2012 Summer Olympics,Field hockey
Johan Sjöstrand,Sweden,2012 Summer Olympics,Team handball
Jean Basson,South Africa,2012 Summer Olympics,Swimming
