country;event;medal;medalist;olympics
Sweden;Shooting;1912 Summer Olympics;Men's 25 metre small-bore rifle;Silver medal;Johan Hübner von Holst;1912 Summer Olympics
Sweden;Cross Country Skiing;1968 Winter Olympics;Women's 10km;Gold medal;Toini Gustafsson;1968 Winter Olympics
Turkey;Wrestling;1956 Summer Olympics;Greco-Roman Welterweight;Gold medal;Mithat Bayrak;1956 Summer Olympics
Netherlands;Speed Skating;2006 Winter Olympics;Women's 3000m;Silver medal;Renate Groenewold;2006 Winter Olympics
France;Volleyball;2004 Summer Olympics;Men's Beach Volleyball;;Mathieu Hamel;Stephane Canet;2004 Summer Olympics
Bulgaria;Volleyball;1988 Summer Olympics;Men's volleyball;;;1988 Summer Olympics
France;Cycling;1948 Summer Olympics;Men's 1000m Time Trial;Gold medal;Jacques Dupont;1948 Summer Olympics
Norway;Volleyball;2008 Summer Olympics;Women's beach volleyball;;Susanne Glesnes;Kathrine Maaseide;2008 Summer Olympics
Italy;Volleyball;1996 Summer Olympics;Men's volleyball;Silver medal;Paolo Tofoli;Lorenzo Bernardi;Marco Meoni;Vigor Bovolenta;Marco Bracci;Luca Cantagalli;Andrea Gardini;Andrea Sartoretti;Samuele Papi;Pasquale Gravina;Andrea Giani;Andrea Zorzi;1996 Summer Olympics
Germany;Volleyball;2004 Summer Olympics;Women's Beach Volleyball;;Susanne Lahme;Danja Müsch;2004 Summer Olympics
Ukraine;Biathlon;2006 Winter Olympics;Women's sprint;Bronze medal;Lilia Efremova;2006 Winter Olympics
Japan;Volleyball;1996 Summer Olympics;Women's beach volleyball;;Yukiko Takahashi;Sachiko Fujita;1996 Summer Olympics
United States of America;Volleyball;2000 Summer Olympics;Women's volleyball;;Charlene Tagaloa;Demetria Sance;Stacy Sykora;Danielle Scott-Arruda;Tara Cross-Battle;Allison Weston;Sarah Noriega;Logan Tom;Robyn Ah Mow-Santos;Heather Bown;Mickisha Hurley;Kerri Walsh;2000 Summer Olympics
Canada;Cross-country skiing;2006 Winter Olympics;Team Sprint; classical style;Silver medal;Sara Renner;2006 Winter Olympics
Sweden;Cross-country skiing;2010 Winter Olympics;Women's 15 kilometre pursuit;Bronze medal;Anna Haag;2010 Winter Olympics
France;Snowboarding;2010 Winter Olympics;Men's parallel giant slalom;Bronze medal;Mathieu Bozzetto;2010 Winter Olympics
South Korea;Short track speed skating;2010 Winter Olympics;Women's 1500 metres;Bronze medal;Park Seung-Hi;2010 Winter Olympics
Austria;Biathlon;2010 Winter Olympics;Men's pursuit;Silver medal;Christoph Sumann;2010 Winter Olympics
Norway;Biathlon;2010 Winter Olympics;Women's individual;Gold medal;Tora Berger;2010 Winter Olympics
Russia;Athletics;2004 Summer Olympics;Women's 1.500 metres;Silver medal;Tatyana Tomashova;2004 Summer Olympics
China;Judo;2008 Summer Olympics;Women's +78 kg;Gold medal;Tong Wen;2008 Summer Olympics
United States of America;Swimming;1988 Summer Olympics;Men's 4 x 200 metre freestyle relay;Gold medal;Matt Cetlinski;Troy Dalbey;Matt Biondi;Doug Gjertsen;1988 Summer Olympics
Tajikistan;Judo;2008 Summer Olympics;Men's Lightweight 73 kg;Bronze medal;Rasul Boqiev;2008 Summer Olympics
United States of America;Diving;1992 Summer Olympics;Women's 10 metre platform;Bronze medal;Mary Ellen Clark;1992 Summer Olympics
Spain;Cycling;2008 Summer Olympics;Men's individual road race;Gold medal;Samuel Sánchez;2008 Summer Olympics
China;Diving;1988 Summer Olympics;Men's 10 metre platform;Silver medal;Ni Xiong;1988 Summer Olympics
Australia;Athletics;2000 Summer Olympics;Women's 400 metres;Gold medal;Cathy Freeman;2000 Summer Olympics
Canada;Gymnastics;2004 Summer Olympics;Women's Trampoline;Silver medal;Karen Cockburn;2004 Summer Olympics
United States of America;Cycling;1912 Summer Olympics;Men's individual time trial;;John Becht;1912 Summer Olympics
Netherlands;Swimming;1928 Summer Olympics;Women's 400 metre freestyle;Silver medal;Marie Braun;1928 Summer Olympics
South Korea;Weightlifting;1956 Summer Olympics;Men's Lightweight 60-67.5 kg;Bronze medal;Chang-Hee Kim;1956 Summer Olympics
Hungary;Wrestling;1972 Summer Olympics;Men's Greco-Roman 100 kg;Bronze medal;Ferenc Kiss;1972 Summer Olympics
United Kingdom;Athletics;1908 Summer Olympics;Men's shot put;Silver medal;Denis Horgan;1908 Summer Olympics
Russia;Gymnastics;2008 Summer Olympics;Men's Vault;Bronze medal;Anton Golotsutskov;2008 Summer Olympics
Hungary;Boxing;1972 Summer Olympics;Welterweight;Silver medal;János Kajdi;1972 Summer Olympics
Sweden;Canoeing;1956 Summer Olympics;Men's K-1 10000 metres;Gold medal;Gert Fredriksson;1956 Summer Olympics
Denmark;Cycling;1964 Summer Olympics;Men's individual road race;Silver medal;Kjell Rodian;1964 Summer Olympics
Turkey;Wrestling;1960 Summer Olympics;Freestyle Welterweight;Silver medal;?smail Ogan;1960 Summer Olympics
Venezuela;Cycling;2004 Summer Olympics;Men's individual road race;;Unai Etxebarria;2004 Summer Olympics
Germany;Swimming;1912 Summer Olympics;Men's 100 metre backstroke;Silver medal;Otto Fahr;1912 Summer Olympics
Hungary;Swimming;1948 Summer Olympics;Women's 200 metre breaststroke;Bronze medal;Éva Novák-Gerard;1948 Summer Olympics
United Kingdom;Cycling;1948 Summer Olympics;Men's Sprint;Silver medal;Reginald Hargreaves Harris;1948 Summer Olympics
Hungary;Athletics;1952 Summer Olympics;Men's Hammer Throw;Bronze medal;Imre Németh;1952 Summer Olympics
Finland;Gymnastics;1948 Summer Olympics;Men's Horizontal Bar;Bronze medal;Veikko Huhtanen;1948 Summer Olympics
German Democratic Republic;Athletics;1988 Summer Olympics;Men's 20 km walk;Silver medal;Ronald Weigel;1988 Summer Olympics
Argentina;Boxing;1948 Summer Olympics;Flyweight;Gold medal;Pascual Pérez;1948 Summer Olympics
Unified Team;Gymnastics;1992 Summer Olympics;Men's parallel bars;Bronze medal;Igor Korobchinsky;1992 Summer Olympics
Sweden;Tennis;1988 Summer Olympics;Men's Singles;Bronze medal;Stefan Edberg;1988 Summer Olympics
New Zealand;Swimming;1992 Summer Olympics;Men's 200 metre butterfly;Silver medal;Danyon Loader;1992 Summer Olympics
Norway;Cross-Country Skiing;1972 Winter Olympics;Men's 50km;Gold medal;Pål Tyldum;1972 Winter Olympics
France;Weightlifting;1928 Summer Olympics;Men's Lightweight 60-67.5 kg;Bronze medal;Fernand Arnout;1928 Summer Olympics
Pakistan;Cycling;1952 Summer Olympics;Men's sprint;;Muhammad Naqi Mallick;1952 Summer Olympics
Australia;Swimming;1992 Summer Olympics;Women's 800 metre freestyle;Silver medal;Hayley Lewis;1992 Summer Olympics
Netherlands;Cycling;2004 Summer Olympics;Women's road time trial;Gold medal;Leontien van Moorsel;2004 Summer Olympics
Turkey;Wrestling;1948 Summer Olympics;Men's Freestyle Middleweight;Silver medal;Adil Candemir;1948 Summer Olympics
Austria;Swimming;1896 Summer Olympics;Men's 500 metre freestyle;Gold medal;Paul Neumann;1896 Summer Olympics
Russia;Swimming;1996 Summer Olympics;Men's 100 metre butterfly;Gold medal;Denis Pankratov;1996 Summer Olympics
Greece;Cycling;1896 Summer Olympics;Men's sprint;Silver medal;Stamatios Nikolopoulos;1896 Summer Olympics
Sweden;Wrestling;1948 Summer Olympics;Greco-Roman Middleweight;Gold medal;Axel Grönberg;1948 Summer Olympics
Sweden;Cross-country skiing;1928 Winter Olympics;Men's 50 km;Gold medal;Per Erik Hedlund;1928 Winter Olympics
France;Judo;1996 Summer Olympics;Women's 52 kg;Gold medal;Marie-Claire Restoux;1996 Summer Olympics
Austria;Luge;1968 Winter Olympics;Men's Single;Gold medal;Manfred Schmid;1968 Winter Olympics
United Kingdom;Tennis;1908 Summer Olympics;Women's Singles;Silver medal;Dora Boothby;1908 Summer Olympics
Cuba;Fencing;1904 Summer Olympics;Men's Sabre, Individual;Gold medal;Manuel Díaz;1904 Summer Olympics
United States of America;Boxing;1904 Summer Olympics;Bantamweight;Gold medal;Oliver Kirk;1904 Summer Olympics
Bulgaria;Short Track Speed Skating;2002 Winter Olympics;Women's 1500m;Bronze medal;Evgenia Radanova;2002 Winter Olympics
Soviet Union;Wrestling;1968 Summer Olympics;Men's Greco-Roman Featherweight;Gold medal;Roman Rurua;1968 Summer Olympics
United Kingdom;Wrestling;1920 Summer Olympics;Men's freestyle lightweight;Bronze medal;Peter Wright;1920 Summer Olympics
Sweden;Athletics;1920 Summer Olympics;Men's 56 pound weight throw;Bronze medal;Carl Johan Lind;1920 Summer Olympics
United Kingdom;Swimming;1980 Summer Olympics;Men's 200 metre butterfly;Silver medal;Philip Hubble;1980 Summer Olympics
Liechtenstein;Cycling;1952 Summer Olympics;Men's individual road race;;Alois Lampert;1952 Summer Olympics
Hungary;Fencing;1908 Summer Olympics;Men's Sabre, Individual;Gold medal;Jenö Fuchs;1908 Summer Olympics
Finland;Wrestling;1908 Summer Olympics;Greco-Roman light heavyweight;Silver medal;Yrjö Saarela;1908 Summer Olympics
United Kingdom;Rowing;1924 Summer Olympics;Men's single sculls;Gold medal;Jack Beresford;1924 Summer Olympics
German Democratic Republic;Ski Jumping;1984 Winter Olympics;Normal Hill;Gold medal;Jens Weissflog;1984 Winter Olympics
Sweden;Cycling;1952 Summer Olympics;Men's individual road race;;Allan Carlsson;1952 Summer Olympics
Finland;Athletics;1932 Summer Olympics;Men's javelin throw;Silver medal;Matti Sippala;1932 Summer Olympics
France;Alpine skiing;1948 Winter Olympics;Men's slalom;Silver medal;James Couttet;1948 Winter Olympics
Finland;Athletics;1920 Summer Olympics;Men's pentathlon;Gold medal;Eero Lehtonen;1920 Summer Olympics
Finland;Athletics;1964 Summer Olympics;Men's javelin throw;Gold medal;Pauli Nevala;1964 Summer Olympics
Finland;Athletics;1920 Summer Olympics;Men's discus throw;Silver medal;Armas Taipale;1920 Summer Olympics
North Korea;Wrestling;1980 Summer Olympics;Men's freestyle Light Flyweight;Silver medal;Se Hong Jang;1980 Summer Olympics
Finland;Wrestling;1932 Summer Olympics;Men's Greco-Roman Light Heavyweight;Silver medal;Onni Pellinen;1932 Summer Olympics
Chile;Athletics;1956 Summer Olympics;Women's Javelin Throw;Silver medal;Marlene Ahrens;1956 Summer Olympics
Mongolia;Wrestling;1968 Summer Olympics;Men's freestyle flyweight;Bronze medal;Surenjav Sukhbataar;1968 Summer Olympics
France;Fencing;1920 Summer Olympics;Men's Épée, Individual;Gold medal;Armand Massard;1920 Summer Olympics
France;Fencing;1956 Summer Olympics;Men's Foil, Individual;Gold medal;Christian d'Oriola;1956 Summer Olympics
United Kingdom;Skeleton;2002 Winter Olympics;Women's Skeleton;Bronze medal;Alex Coomber;2002 Winter Olympics
Soviet Union;Canoeing;1976 Summer Olympics;Women's K-1 500 metres;Silver medal;Tatiana Korshunova;1976 Summer Olympics
Soviet Union;Gymnastics;1976 Summer Olympics;Women's Balance Beam;Silver medal;Olga Korbut;1976 Summer Olympics
United States of America;Diving;1948 Summer Olympics;Men's 3 metre springboard;Bronze medal;Sammy Lee;1948 Summer Olympics
France;Cycling;1896 Summer Olympics;Men's 100 kilometres;Gold medal;Léon Flameng;1896 Summer Olympics
Japan;Wrestling;2008 Summer Olympics;Men's Freestyle Featherweight;Bronze medal;Kenichi Yumoto;2008 Summer Olympics
United States of America;Swimming;2008 Summer Olympics;Men's 100 metre butterfly;Gold medal;Michael Phelps;2008 Summer Olympics
United States of America;Swimming;1924 Summer Olympics;Men's 100 metre freestyle;Bronze medal;Samuel Kahanamoku;1924 Summer Olympics
Cuba;Boxing;1992 Summer Olympics;Bantamweight;Gold medal;Joel Casamayor;1992 Summer Olympics
Romania;Weightlifting;1996 Summer Olympics;Men's 99.108 kg;Bronze medal;Nicu Vlad;1996 Summer Olympics
Poland;Shooting;1996 Summer Olympics;Women's 50 metre rifle three positions;Bronze medal;Renata Mauer;1996 Summer Olympics
United States of America;Athletics;1900 Summer Olympics;Men's 200 metre hurdles;Gold medal;Alvin Kraenzlein;1900 Summer Olympics
United States of America;Shooting;1976 Summer Olympics;50m Rifle Three Positions;Gold medal;Lanny Bassham;1976 Summer Olympics
Austria;Figure skating;1924 Winter Olympics;Men's singles;Silver medal;Willy Boeckl;1924 Winter Olympics
German Democratic Republic;Speed Skating;1988 Winter Olympics;Women's 5000m;Silver medal;Andrea Ehrig-Mitscherlich;1988 Winter Olympics
Hungary;Weightlifting;1980 Summer Olympics;Men's Middle Heavyweight  82.5-90 kg;Gold medal;Péter Baczakó;1980 Summer Olympics
United States of America;Athletics;1920 Summer Olympics;Men's pole vault;Gold medal;Frank Foss;1920 Summer Olympics
Germany;Weightlifting;1992 Summer Olympics;Men's Heavyweight 100-110 kg;Gold medal;Ronny Weller;1992 Summer Olympics
German Democratic Republic;Shooting;1968 Summer Olympics;Trap;Bronze medal;Kurt Czekalla;1968 Summer Olympics
Russia;Weightlifting;2008 Summer Olympics;Women's 75 kg;Bronze medal;Nadezhda Evstyukhina;2008 Summer Olympics
United States of America;Athletics;1988 Summer Olympics;Men's 400 metre hurdles;Gold medal;Andre Phillips;1988 Summer Olympics
Soviet Union;Athletics;1980 Summer Olympics;Men's triple jump;Gold medal;Jaak Uudmäe;1980 Summer Olympics
Australia;Swimming;1956 Summer Olympics;Men's 100 metre freestyle;Bronze medal;Gary Chapman;1956 Summer Olympics
Germany;Shooting;1936 Summer Olympics;Men's 50 metre pistol;Silver medal;Erich Krempel;1936 Summer Olympics
Mexico;Athletics;1984 Summer Olympics;Men's 50 km walk;Gold medal;Raúl González;1984 Summer Olympics
Estonia;Wrestling;1936 Summer Olympics;Greco-Roman Heavyweight;Gold medal;Kristjan Palusalu;1936 Summer Olympics
Germany;Luge;1964 Winter Olympics;Men's Singles;Silver medal;Klaus Bonsack;1964 Winter Olympics
United States of America;Wrestling;1988 Summer Olympics;Men's Freestyle Featherweight;Gold medal;John Smith;1988 Summer Olympics
Germany;Shooting;1992 Summer Olympics;Men's 25 metre rapid fire pistol;Gold medal;Ralf Schumann;1992 Summer Olympics
South Korea;Taekwondo;2008 Summer Olympics;Men's 68 kg;Gold medal;Son Tae-Jin;2008 Summer Olympics
Finland;Biathlon;1960 Winter Olympics;Men's 20km Individual;Silver medal;Antti Tyrväinen;1960 Winter Olympics
Austria;Alpine Skiing;1992 Winter Olympics;Women's Combined;Gold medal;Petra Kronberger;1992 Winter Olympics
Soviet Union;Figure Skating;1972 Winter Olympics;Men's Singles;Silver medal;Sergei Chetverukhin;1972 Winter Olympics
United Kingdom;Shooting;1908 Summer Olympics;Men's disappearing target small-bore rifle;Bronze medal;Edward Amoore;1908 Summer Olympics
United States of America;Athletics;1996 Summer Olympics;Men's triple jump;Gold medal;Kenny Harrison;1996 Summer Olympics
United States of America;Figure Skating;2002 Winter Olympics;Men's Singles;Bronze medal;Timothy Goebel;2002 Winter Olympics
United States of America;Athletics;1996 Summer Olympics;Men's decathlon;Gold medal;Dan O'Brien;1996 Summer Olympics
Netherlands;Athletics;1948 Summer Olympics;Women's 80m Hurdles;Gold medal;Fanny Blankers-Koen;1948 Summer Olympics
Italy;Cycling;1960 Summer Olympics;Men's Sprint;Bronze medal;Valentino Gasparella;1960 Summer Olympics
United States of America;Athletics;1936 Summer Olympics;Men's high jump;Gold medal;Cornelius Cooper Johnson;1936 Summer Olympics
Hungary;Swimming;1952 Summer Olympics;400 metre Freestyle Women;Silver medal;Éva Novák-Gerard;1952 Summer Olympics
Soviet Union;Cross-Country Skiing;1976 Winter Olympics;Men's 15km;Gold medal;Nikolay Bazhukov;1976 Winter Olympics
Germany;Alpine Skiing;1998 Winter Olympics;Women's Slalom;Gold medal;Hilde Gerg;1998 Winter Olympics
Algeria;Boxing;1996 Summer Olympics;Lightweight;Gold medal;Hoeina Soltania;1996 Summer Olympics
Soviet Union;Swimming;1980 Summer Olympics;Men's 1500 metre freestyle;Gold medal;Vladimir Salnikov;1980 Summer Olympics
Latvia;Canoeing;1992 Summer Olympics;Men's C-1 1000 metres;Silver medal;Ivans Klementjevs;1992 Summer Olympics
Germany;Gymnastics;1992 Summer Olympics;Men's pommel horse;Bronze medal;Andreas Wecker;1992 Summer Olympics
German Democratic Republic;Luge;1984 Winter Olympics;Women's Singles;Gold medal;Steffi Martin;1984 Winter Olympics
Norway;Alpine Skiing;1992 Winter Olympics;Men's Super-G;Gold medal;Kjetil André Aamodt;1992 Winter Olympics
Switzerland;Equestrian;1928 Summer Olympics;Jumping, Individual;Bronze medal;Charles-Gustave Kuhn;1928 Summer Olympics
Czechoslovakia;Wrestling;1976 Summer Olympics;Men's Greco-Roman Welterweight;Silver medal;Vitezslav Macha;1976 Summer Olympics
Norway;Cycling;1912 Summer Olympics;Men's individual time trial;;Birgir Andreassen;1912 Summer Olympics
Germany;Luge;2010 Winter Olympics;Doubles;Bronze medal;Patric Leitner;Alexander Resch;2010 Winter Olympics
Switzerland;Rowing;2000 Summer Olympics;Men's  Single Sculls;Silver medal;Xeno Müller;2000 Summer Olympics
France;Cycling;1924 Summer Olympics;Men's Individual Time Trial;Gold medal;Armand Blanchonnet;1924 Summer Olympics
Bulgaria;Shooting;1996 Summer Olympics;Women's 25 metre pistol;Silver medal;Diana Iorgova;1996 Summer Olympics
Romania;Handball;1984 Summer Olympics;Men's tournament;Bronze medal;Neculai Vasilc?;Gheorghe Dog?rescu;Mircea Bedivan;Alexandru Buligan;Cornel Dur?u;Vasile Oprea;Alexandru Fölker;Dumitru Berbece;Maricel Voinea;Marian Dumitru;Gheorghe Covaciu;Vasile Stîng?;Nicolae Munteanu;Adrian Simion;Iosif Boro?;1984 Summer Olympics
German Democratic Republic;Swimming;1988 Summer Olympics;Men's 4 x 200 metre freestyle relay;Silver medal;Steffen Zesner;Uwe Daßler;Sven Lodziewski;Thomas Flemming;1988 Summer Olympics
Poland;Speed skating;2010 Winter Olympics;Women's team pursuit;Bronze medal;Katarzyna Wójcicka;Luiza Zlotkowska;Katarzyna Wo?niak;2010 Winter Olympics
Slovenia;Cross-country skiing;2010 Winter Olympics;Women's sprint;Bronze medal;Petra Majdi?;2010 Winter Olympics
Soviet Union;Speed Skating;1956 Winter Olympics;Men's 500m;Silver medal;Rafayel Grach;1956 Winter Olympics
Finland;Ski Jumping;1964 Winter Olympics;Normal Hill;Gold medal;Veikko Kankkonen;1964 Winter Olympics
Austria;Alpine Skiing;1960 Winter Olympics;Men's Slalom;Gold medal;Ernst Hinterseer;1960 Winter Olympics
Austria;Figure Skating;1964 Winter Olympics;Women's Singles;Silver medal;Regine Heitzer;1964 Winter Olympics
Hungary;Modern pentathlon;1996 Summer Olympics; Men's Individual;Bronze medal;János Martinek;1996 Summer Olympics
Lithuania;Modern pentathlon;2008 Summer Olympics;Men's Individual;Bronze medal;Andrejus Zadneprovskis;2008 Summer Olympics
United States of America;Swimming;1996 Summer Olympics;Women's 800 metre freestyle;Gold medal;Brooke Bennett;1996 Summer Olympics
Soviet Union;Gymnastics;1956 Summer Olympics;Women's artistic individual all-around;Bronze medal;Sofia Muratova;1956 Summer Olympics
